smile,value_min,value_max,value_mean
Cc1ccc(-c2ccc(N3C(=O)C4C5(C)C(=O)N(C)C(=O)C5C4(C)C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,83,83,83
Cc1ccc(-c2ccc(N3C(=O)C4C5C(=O)N(C)C(=O)C5C4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,83,83,83
Cc1ccc(C(=O)Nc2ccc(N3C(=O)C4C5(C)C(=O)N(C)C(=O)C5C4(C)C3=O)cc2)cc1,67,67,67
Cc1ccc(NC(=O)c2ccc(N3C(=O)C4C5(C)C(=O)N(C)C(=O)C5C4(C)C3=O)cc2)cc1,67,67,67
Cc1ccc(NC(=O)c2ccc(N3C(=O)C4C5C(=O)N(C)C(=O)C5C4C3=O)cc2)cc1,66,69.4,67.7
Cc1ccc(C(=O)Nc2ccc(N3C(=O)C4C5C(=O)N(C)C(=O)C5C4C3=O)cc2)cc1,66,69.4,67.7
Cc1ccc(C(=O)Nc2ccc(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)cc2)cc1,67,67,67
Cc1ccc(NC(=O)c2ccc(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)cc2)cc1,67,67,67
Cc1ccc(C(=O)Oc2ccc(N3C(=O)C4C5C(=O)N(C)C(=O)C5C4C3=O)cc2)cc1,84,84,84
Cc1ccc(OC(=O)c2ccc(N3C(=O)C4C5C(=O)N(C)C(=O)C5C4C3=O)cc2)cc1,84,84,84
Cc1ccc(OC(=O)c2ccc(N3C(=O)C4C5(C)C(=O)N(C)C(=O)C5C4(C)C3=O)cc2)c(C)c1,64,64,64
Cc1ccc(C(=O)Oc2ccc(N3C(=O)C4C5(C)C(=O)N(C)C(=O)C5C4(C)C3=O)cc2C)cc1,64,64,64
Cc1ccc(C(=O)Oc2ccc(N3C(=O)C4C5C(=O)N(C)C(=O)C5C4C3=O)cc2C)cc1,78,78,78
Cc1ccc(OC(=O)c2ccc(N3C(=O)C4C5C(=O)N(C)C(=O)C5C4C3=O)cc2)c(C)c1,78,78,78
CC1CCC(N2C(=O)C3C4(C)C(=O)N(C)C(=O)C4C3(C)C2=O)CC1,87,87,87
CC1CCC(N2C(=O)C3C4C(=O)N(C)C(=O)C4C3C2=O)CC1,76,76,76
CC1CCC(N2C(=O)C3CC4C(=O)N(C)C(=O)C4CC3C2=O)CC1,85,85,85
CC1CCC(CC2CCC(N3C(=O)C4C5(C)C(=O)N(C)C(=O)C5C4(C)C3=O)CC2)CC1,81,81,81
CC1CCC(CC2CCC(N3C(=O)C4C5C(=O)N(C)C(=O)C5C4C3=O)CC2)CC1,87,87,87
CC1CCC(CC2CCC(N3C(=O)C4C5(C)C(=O)N(C)C(=O)C5C4(C)C3=O)C(C)C2)CC1C,81,81,81
CC1CCC(CC2CCC(N3C(=O)C4C5C(=O)N(C)C(=O)C5C4C3=O)C(C)C2)CC1C,83,83,83
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3C)cc2)c(C)c1,30,30,30
