smile,value_min,value_max,value_mean
Cc1ccc(C(=O)Nc2ccc(N3C(=O)C4CCC(C5CCC6C(=O)N(C)C(=O)C6C5)CC4C3=O)cc2C)cc1C,62.9,62.9,62.9
Cc1ccc(C(=O)Nc2ccc(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)cc2C)cc1,33.4,33.4,33.4
Cc1ccc(NC(=O)c2ccc(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)cc2)c(C)c1,33.4,33.4,33.4
Cc1ccc(C(=O)Nc2ccc(N3C(=O)C4CCC(C5CCC6C(=O)N(C)C(=O)C6C5)CC4C3=O)cc2C)cc1,55.3,55.3,55.3
Cc1ccc(NC(=O)c2ccc(N3C(=O)C4CCC(C5CCC6C(=O)N(C)C(=O)C6C5)CC4C3=O)cc2)c(C)c1,55.3,55.3,55.3
Cc1cc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc(C(F)(F)F)c1,48.0,48.0,48.0
Cc1cc(N2C(=O)c3ccc(C(=O)Nc4cc(NC(=O)c5ccc6c(c5)C(=O)N(C)C6=O)cc(C(F)(F)F)c4)cc3C2=O)cc(C(F)(F)F)c1,15.0,15.0,15.0
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(=O)Nc5cc(NC(=O)c6ccc7c(c6)C(=O)N(C)C7=O)cc(C(F)(F)F)c5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,21.0,21.0,21.0
Cc1cc(C(c2ccccc2)c2cc(C)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(C)c2)cc(C)c1C,63.0,63.0,63.0
Cc1cc(C(c2ccc(C(F)(F)F)cc2)c2cc(C)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(C)c2)cc(C)c1C,66.0,66.0,66.0
Cc1cc(C(c2ccc(C(F)(F)F)cc2)c2cc(C)c(N3C(=O)c4ccc(C(=O)Nc5ccc(-c6ccc(NC(=O)c7ccc8c(c7)C(=O)N(C)C8=O)cc6C(F)(F)F)c(C(F)(F)F)c5)cc4C3=O)c(C)c2)cc(C)c1C,45.0,45.0,45.0
Cc1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,37.0,37.0,37.0
Cc1cccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1,39.0,39.0,39.0
Cc1cc(C(c2ccccc2)c2cc(C)c(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)c(C)c2)cc(C)c1C,46.0,46.0,46.0
Cc1cc(C(c2ccc(F)cc2)c2cc(C)c(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)c(C)c2)cc(C)c1C,48.0,48.0,48.0
Cc1cc(C(c2cc(C)c(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)c(C)c2)c2cc(F)c(F)c(F)c2)cc(C)c1C,51.0,51.0,51.0
Cc1cc(C(c2ccccc2)c2cc(C)c(N3C(=O)C4C5C=CC(C6C(=O)N(C)C(=O)C56)C4C3=O)c(C)c2)cc(C)c1C,49.0,49.0,49.0
Cc1cc(C(c2ccc(F)cc2)c2cc(C)c(N3C(=O)C4C5C=CC(C6C(=O)N(C)C(=O)C56)C4C3=O)c(C)c2)cc(C)c1C,47.0,47.0,47.0
Cc1cc(C(c2cc(C)c(N3C(=O)C4C5C=CC(C6C(=O)N(C)C(=O)C56)C4C3=O)c(C)c2)c2cc(F)c(F)c(F)c2)cc(C)c1C,52.0,52.0,52.0
Cc1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5cc(C(F)(F)F)cc(C(F)(F)F)c5)(c5ccc6c(c5)C(=O)N(C)C6=O)C(F)(F)F)cc4C3=O)cc2)cc1,57.1,57.1,57.1
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(C(c6cc(C(F)(F)F)cc(C(F)(F)F)c6)(c6ccc7c(c6)C(=O)N(C)C7=O)C(F)(F)F)cc5C4=O)cc3)cc2)cc1,58.3,58.3,58.3
Cc1cccc(Oc2ccc(N3C(=O)c4ccc(C(c5cc(C(F)(F)F)cc(C(F)(F)F)c5)(c5ccc6c(c5)C(=O)N(C)C6=O)C(F)(F)F)cc4C3=O)cc2)c1,56.1,56.1,56.1
Cc1ccc(Oc2cccc(N3C(=O)c4ccc(C(c5cc(C(F)(F)F)cc(C(F)(F)F)c5)(c5ccc6c(c5)C(=O)N(C)C6=O)C(F)(F)F)cc4C3=O)c2)cc1,56.1,56.1,56.1
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(C(c6cc(C(F)(F)F)cc(C(F)(F)F)c6)(c6ccc7c(c6)C(=O)N(C)C7=O)C(F)(F)F)cc5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,59.8,59.8,59.8
Cc1ccc(Oc2ccc(N3C(=O)[C@@H]4C[C@@H]5C(=O)N(C)C(=O)[C@H]5C[C@H]4C3=O)cc2)cc1,50.2,50.2,50.2
Cc1ccc(Oc2ccc(N3C(=O)[C@H]4C[C@H]5C(=O)N(C)C(=O)[C@@H]5C[C@@H]4C3=O)cc2)cc1,50.2,50.2,50.2
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)[C@H]5C[C@H]6C(=O)N(C)C(=O)[C@@H]6C[C@@H]5C4=O)cc3)cc2)cc1,57.2,57.2,57.2
