smile,value_min,value_max,value_mean
Cc1ccc(-c2nc3c4c(ccc3o2)C(C)(C)CC42CC(C)(C)c3cc4nc(-c5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)oc4cc32)cc1,105.2,105.2,105.2
Cc1ccc(-c2nc3cc4c(cc3o2)C2(CC4(C)C)CC(C)(C)c3ccc4oc(-c5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)nc4c32)cc1,105.2,105.2,105.2
Cc1cccc(-c2nc3c4c(ccc3o2)C(C)(C)CC42CC(C)(C)c3cc4nc(-c5cccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)oc4cc32)c1,102.9,102.9,102.9
Cc1cccc(-c2nc3cc4c(cc3o2)C2(CC4(C)C)CC(C)(C)c3ccc4oc(-c5cccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)nc4c32)c1,102.9,102.9,102.9
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(Oc7ccc8c(c7)C(=O)N(C)C8=O)c(C(C)(C)C)c6)cc5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,104.0,104.0,104.0
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(Oc7ccc8c(c7)C(=O)N(C)C8=O)cc6C(C)(C)C)cc5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,104.0,104.0,104.0
Cc1cccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5cccc(N6C(=O)c7ccc(-c8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)c5)cc4c(=O)c3c2)c1,148.0,148.0,148.0
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)c(C(C)(C)C)c7)cc6C5=O)cc4C(F)(F)F)cc3)cc2)c(C(F)(F)F)c1,107.0,107.0,107.0
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)cc7C(C)(C)C)cc6C5=O)cc4C(F)(F)F)cc3)cc2)c(C(F)(F)F)c1,107.0,107.0,107.0
Cc1ccc(Oc2c(C)cc(-c3cc(C)c(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)c(C(C)(C)C)c7)cc6C5=O)cc4C(F)(F)F)c(C)c3)cc2C)c(C(F)(F)F)c1,103.0,103.0,103.0
