block,count
CC12C(=O)OC(=O)C1C1C(=O)OC(=O)C12F,1
CC12C(=O)OC(=O)C1C1(F)C(=O)OC(=O)C21,1
[15*]C12C(=O)OC(=O)C1C1([15*])C(=O)OC(=O)C21,3
O=C1OC(=O)c2cc3c(cc21)Oc1cc2c(cc1C3(c1ccccc1)c1ccccc1)C(=O)OC2=O,1
[16*]c1ccc(C2(c3ccc([16*])c([16*])c3)c3ccccc3-c3ccccc32)cc1[16*],1
[15*]C12C(=O)OC(=O)C1C1C(=O)OC(=O)C12,1
CC12C(=O)OC(=O)C1C1C(=O)OC(=O)C12C,1
O=C1OC(=O)C23CCCCC24C(=O)OC(=O)C42CCCCC123,1
O=C1OC(=O)C2C1C1C(=O)OC(=O)C21F,1
O=C1OC(=O)C2C1C1(F)C(=O)OC(=O)C21F,1
O=C1OC(=O)C2(F)C1C1(F)C(=O)OC(=O)C21,1
CC12C(=O)OC(=O)C1C1(C)C(=O)OC(=O)C21C,1
CC1=CC2(C)C3C(=O)OC(=O)C3C1C1C(=O)OC(=O)C12,1
CC12C(=O)OC(=O)C1(C)C1(C)C(=O)OC(=O)C21C,2
O=c1oc(=O)c2sc3c(=O)oc(=O)c3sc12,1
[16*]c1ccc2c(c1)C1(CC2(C)C)CC(C)(C)c2cc3oc4cc5c(=O)oc(=O)c5cc4oc3cc21,1
CS(C)(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,1
O=C1OC(=O)C2CC1C1C2C2C3CC(C(=O)OC3=O)C12,1
O=C1OC(=O)c2cc([Si](c3ccccc3)(c3ccccc3)c3ccc4c(c3)C(=O)OC4=O)ccc21,1
[15*]C1CC(=O)OC(=O)C1,2
O=c1oc(=O)c2c1c1c(=O)oc(=O)c1c1c3c(=O)oc(=O)c3c3c(=O)oc(=O)c3c21,1
[8*]C(O)(C(F)(F)F)C(F)(F)F,1
